SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 19/09/2025 HORA: 10:06:27;
PERÍODO DE: 01/01/2025 A 31/01/2025;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
909555;MANUTENCAO E REPARO DE MAQUINAS;0;12437,80;0;-12437,80;
903285;MERC.APLICADAS EM  MAQUINAS E EQUIPAMENTOS;0;2800,65;0;-2800,65;
3.04.03;DESPESAS C/ PESSOAL;0;825540,24;-29591,30;-795948,94;
903165;13° SALARIO;0;205,77;0;-205,77;
903194;ALIMENTACAO, VIAGENS E ESTADIAS DE FUNCIONARIOS;0;24382,68;-5768,88;-18613,80;
913748;COMISSOES S/ FOLHA DE PAGAMENTO;0;134194,30;0;-134194,30;
905308;DESPESAS C/ DESENVOLVIMENTO HUMANO;0;500,00;0;-500,00;
905248;EPI PARA FUNCIONARIOS;0;1852,67;0;-1852,67;
903169;ESTAGIARIO/MENOR APRENDIZ;0;2275,18;0;-2275,18;
903208;EXAMES E ATESTADOS MEDICOS;0;456,82;0;-456,82;
903166;FERIAS;0;41285,66;0;-41285,66;
903170;FGTS;0;44290,44;0;-44290,44;
903167;INDENIZACOES TRABALHISTAS;0;42245,05;0;-42245,05;
905247;LANCHE PARA FUNCIONARIOS;0;3828,94;0;-3828,94;
903205;PLANO DE SAUDE;0;73702,04;-23822,42;-49879,62;
903168;PREVIDENCIA SOCIAL;0;178626,57;0;-178626,57;
903164;SALARIOS E ORDENADOS;0;273759,19;0;-273759,19;
907948;SEGUROS DE VIDA;0;1756,93;0;-1756,93;
904668;VALE ALIMENTACAO;0;2178,00;0;-2178,00;
3.04.04;PRESTADORES DE SERVICOS;0;192844,55;0;-192844,55;
909469;CONSULTORIA SEGURANCA DO TRABALHO;0;2520,00;0;-2520,00;
909560;HONORARIOS ADVOCATICIOS;0;21238,00;0;-21238,00;
909561;HONORARIOS C/ AUDITORIAS;0;14000,00;0;-14000,00;
903196;INFORMATICA / SOFTWARE;0;34047,35;0;-34047,35;
903861;SERVICOS DE CONSULTORIA;0;8834,05;0;-8834,05;
909385;SERVICOS FORNECIMENTO DE DADOS;0;900,67;0;-900,67;
904561;SERVIÇOS TERCERIZADOS - PJ;0;111304,48;0;-111304,48;
3.04.05;DESPESAS C/ CONSUMO;0;16506,90;0;-16506,90;
903172;AGUA E ESGOTO;0;4079,68;0;-4079,68;
903177;IMPRESSOS E MATERIAL DE ESCRITORIO;0;44,00;0;-44,00;
903190;INTERNET;0;4198,60;0;-4198,60;
903173;TELEFONIA FIXA E CELULAR;0;8184,62;0;-8184,62;
3.04.06;DESPESAS TRIBUTARIAS;0;19043,41;-794,94;-18248,47;
903185;I.P.V.A / LINC / DPVAT;0;354,85;0;-354,85;
903188;MULTAS DE TRANSITO;0;481,58;-794,94;313,36;
909500;PARCELAMENTO DE TRIBUTOS;0;18206,98;0;-18206,98;
3.05;RECEITAS FINANCEIRAS;0;790,38;-21654,32;20863,94;
3.05.01;RECEITAS FINANCEIRAS;0;790,38;-21654,32;20863,94;
913846;(-) COFINS S/ RECEITAS FINANCEIRAS;0;649,63;0;-649,63;
903220;DESCONTOS OBTIDOS;0;0;-10,34;10,34;
903219;JUROS RECEBIDOS;0;0;-3474,64;3474,64;
913322;OUTRAS RECEITAS;0;0;-10000,00;10000,00;
913845;(-) PIS S/ RECEITAS FINANCEIRAS;0;140,75;0;-140,75;
903221;RECEITAS DE APLICACOES FINANCEIRAS;0;0;-8169,34;8169,34;
3.06;DESPESAS FINANCEIRAS;0;1087973,78;-37237,18;-1050736,60;
3.06.01;DESPESAS FINANCEIRAS;0;1075671,21;-24690,81;-1050980,40;
903231;DESCONTOS CONCEDIDOS;0;49647,06;0;-49647,06;
903226;DESPESAS BANCARIAS;0;48937,44;-1,51;-48935,93;
